image,release,package_name,package_version,type,vulnerability_id,severity,url,target,patched_version,mirrored,status,justification
rancher/k3s:v1.34.8-k3s1,k3s/v1.34.8,stdlib,v1.25.9,gobinary,CVE-2026-33811,HIGH,https://avd.aquasec.com/nvd/cve-2026-33811,bin/cni,"1.25.10, 1.26.3",false,affected,
rancher/k3s:v1.34.8-k3s1,k3s/v1.34.8,stdlib,v1.25.9,gobinary,CVE-2026-33814,HIGH,https://avd.aquasec.com/nvd/cve-2026-33814,bin/cni,"1.25.10, 1.26.3",false,affected,
rancher/k3s:v1.34.8-k3s1,k3s/v1.34.8,stdlib,v1.25.9,gobinary,CVE-2026-39820,HIGH,https://avd.aquasec.com/nvd/cve-2026-39820,bin/cni,"1.25.10, 1.26.3",false,affected,
rancher/k3s:v1.34.8-k3s1,k3s/v1.34.8,stdlib,v1.25.9,gobinary,CVE-2026-39836,HIGH,https://avd.aquasec.com/nvd/cve-2026-39836,bin/cni,"1.25.10, 1.26.3",false,affected,
rancher/k3s:v1.34.8-k3s1,k3s/v1.34.8,stdlib,v1.25.9,gobinary,CVE-2026-42499,HIGH,https://avd.aquasec.com/nvd/cve-2026-42499,bin/cni,"1.25.10, 1.26.3",false,affected,
rancher/k3s:v1.34.8-k3s1,k3s/v1.34.8,golang.org/x/net,v0.47.0,gobinary,CVE-2026-33814,HIGH,https://avd.aquasec.com/nvd/cve-2026-33814,bin/containerd-shim-runc-v2,0.53.0,false,affected,
rancher/k3s:v1.34.8-k3s1,k3s/v1.34.8,github.com/containerd/containerd/v2,v2.2.3-k3s1,gobinary,CVE-2026-46680,HIGH,https://avd.aquasec.com/nvd/cve-2026-46680,bin/containerd-shim-runc-v2,"2.0.9, 2.2.4, 2.3.1",false,not_affected,vulnerable_code_not_present
rancher/k3s:v1.34.8-k3s1,k3s/v1.34.8,github.com/containerd/containerd/v2,v2.2.3-k3s1,gobinary,CVE-2026-53488,HIGH,https://avd.aquasec.com/nvd/cve-2026-53488,bin/containerd-shim-runc-v2,"2.0.10, 2.1.9, 2.2.5, 2.3.2",false,not_affected,vulnerable_code_not_present
rancher/k3s:v1.34.8-k3s1,k3s/v1.34.8,github.com/containerd/containerd/v2,v2.2.3-k3s1,gobinary,CVE-2026-53489,HIGH,https://avd.aquasec.com/nvd/cve-2026-53489,bin/containerd-shim-runc-v2,"2.1.9, 2.2.5, 2.3.2",false,not_affected,vulnerable_code_not_present
rancher/k3s:v1.34.8-k3s1,k3s/v1.34.8,github.com/containerd/containerd/v2,v2.2.3-k3s1,gobinary,CVE-2026-53492,HIGH,https://avd.aquasec.com/nvd/cve-2026-53492,bin/containerd-shim-runc-v2,"2.1.9, 2.2.5, 2.3.2",false,not_affected,vulnerable_code_not_present
rancher/k3s:v1.34.8-k3s1,k3s/v1.34.8,golang.org/x/net,v0.47.0,gobinary,CVE-2026-25680,HIGH,https://avd.aquasec.com/nvd/cve-2026-25680,bin/containerd-shim-runc-v2,0.55.0,false,not_affected,vulnerable_code_not_in_execute_path
rancher/k3s:v1.34.8-k3s1,k3s/v1.34.8,golang.org/x/net,v0.47.0,gobinary,CVE-2026-25681,HIGH,https://avd.aquasec.com/nvd/cve-2026-25681,bin/containerd-shim-runc-v2,0.55.0,false,not_affected,vulnerable_code_not_in_execute_path
rancher/k3s:v1.34.8-k3s1,k3s/v1.34.8,golang.org/x/net,v0.47.0,gobinary,CVE-2026-27136,HIGH,https://avd.aquasec.com/nvd/cve-2026-27136,bin/containerd-shim-runc-v2,0.55.0,false,not_affected,vulnerable_code_not_in_execute_path
rancher/k3s:v1.34.8-k3s1,k3s/v1.34.8,golang.org/x/net,v0.47.0,gobinary,CVE-2026-39821,HIGH,https://avd.aquasec.com/nvd/cve-2026-39821,bin/containerd-shim-runc-v2,0.55.0,false,not_affected,vulnerable_code_not_in_execute_path
rancher/k3s:v1.34.8-k3s1,k3s/v1.34.8,golang.org/x/net,v0.47.0,gobinary,CVE-2026-42502,HIGH,https://avd.aquasec.com/nvd/cve-2026-42502,bin/containerd-shim-runc-v2,0.55.0,false,not_affected,vulnerable_code_not_in_execute_path
rancher/k3s:v1.34.8-k3s1,k3s/v1.34.8,golang.org/x/net,v0.47.0,gobinary,CVE-2026-42506,HIGH,https://avd.aquasec.com/nvd/cve-2026-42506,bin/containerd-shim-runc-v2,0.55.0,false,not_affected,vulnerable_code_not_in_execute_path
rancher/k3s:v1.34.8-k3s1,k3s/v1.34.8,google.golang.org/grpc,v1.78.0,gobinary,CVE-2026-33186,CRITICAL,https://avd.aquasec.com/nvd/cve-2026-33186,bin/containerd-shim-runc-v2,1.79.3,false,not_affected,vulnerable_code_not_present
rancher/k3s:v1.34.8-k3s1,k3s/v1.34.8,stdlib,v1.25.9,gobinary,CVE-2026-33811,HIGH,https://avd.aquasec.com/nvd/cve-2026-33811,bin/containerd-shim-runc-v2,"1.25.10, 1.26.3",false,not_affected,vulnerable_code_not_in_execute_path
